Transmittance(R)	Transmittance(B)	Circulation Speed	Agitation Speed	Refractive Index(R)	Refractive Index(B)	Iteration Number
20180731_P1-1-GS_#1_R1_M1.csv	89.7(%)	84.4(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R1_M2.csv	89.6(%)	84.3(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R1_M3.csv	89.5(%)	84.3(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R2_M1.csv	87.8(%)	81.1(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R2_M2.csv	87.7(%)	81.0(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R2_M3.csv	87.6(%)	80.9(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R3_M1.csv	88.4(%)	82.0(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R3_M2.csv	88.3(%)	81.9(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P1-1-GS_#1_R3_M3.csv	88.3(%)	81.8(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
20180731_P2-1-GS_#2_R1_M1.csv	87.4(%)	79.7(%)	6	6	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	1.45-0.05i(1.33)[1.45-0.05(1.450-0.050i),1.33(1.333)]	15
