diameter.um	percentage	file.name
3000	0	20180731_P1-1-GS_#1_R1_M1.csv
2636.467	0	20180731_P1-1-GS_#1_R1_M1.csv
2301.841	0	20180731_P1-1-GS_#1_R1_M1.csv
2009.687	0	20180731_P1-1-GS_#1_R1_M1.csv
1754.613	0	20180731_P1-1-GS_#1_R1_M1.csv
1531.914	0	20180731_P1-1-GS_#1_R1_M1.csv
1337.481	0	20180731_P1-1-GS_#1_R1_M1.csv
1167.725	0	20180731_P1-1-GS_#1_R1_M1.csv
1019.515	0.787	20180731_P1-1-GS_#1_R1_M1.csv
890.116	1.958	20180731_P1-1-GS_#1_R1_M1.csv
777.141	3.516	20180731_P1-1-GS_#1_R1_M1.csv
678.504	4.709	20180731_P1-1-GS_#1_R1_M1.csv
592.387	5.069	20180731_P1-1-GS_#1_R1_M1.csv
517.2	4.87	20180731_P1-1-GS_#1_R1_M1.csv
451.556	4.463	20180731_P1-1-GS_#1_R1_M1.csv
394.244	3.933	20180731_P1-1-GS_#1_R1_M1.csv
344.206	3.472	20180731_P1-1-GS_#1_R1_M1.csv
300.518	3.202	20180731_P1-1-GS_#1_R1_M1.csv
262.376	3.082	20180731_P1-1-GS_#1_R1_M1.csv
229.075	3.007	20180731_P1-1-GS_#1_R1_M1.csv
200	2.915	20180731_P1-1-GS_#1_R1_M1.csv
174.616	2.818	20180731_P1-1-GS_#1_R1_M1.csv
152.453	2.779	20180731_P1-1-GS_#1_R1_M1.csv
133.103	2.882	20180731_P1-1-GS_#1_R1_M1.csv
116.21	2.948	20180731_P1-1-GS_#1_R1_M1.csv
101.46	2.342	20180731_P1-1-GS_#1_R1_M1.csv
88.583	2.188	20180731_P1-1-GS_#1_R1_M1.csv
77.34	2.308	20180731_P1-1-GS_#1_R1_M1.csv
67.523	2.465	20180731_P1-1-GS_#1_R1_M1.csv
58.953	2.555	20180731_P1-1-GS_#1_R1_M1.csv
51.471	2.671	20180731_P1-1-GS_#1_R1_M1.csv
44.938	2.749	20180731_P1-1-GS_#1_R1_M1.csv
39.234	2.748	20180731_P1-1-GS_#1_R1_M1.csv
34.255	2.628	20180731_P1-1-GS_#1_R1_M1.csv
29.907	2.394	20180731_P1-1-GS_#1_R1_M1.csv
26.111	2.095	20180731_P1-1-GS_#1_R1_M1.csv
22.797	1.803	20180731_P1-1-GS_#1_R1_M1.csv
19.904	1.584	20180731_P1-1-GS_#1_R1_M1.csv
17.377	1.486	20180731_P1-1-GS_#1_R1_M1.csv
15.172	1.519	20180731_P1-1-GS_#1_R1_M1.csv
13.246	1.627	20180731_P1-1-GS_#1_R1_M1.csv
11.565	1.708	20180731_P1-1-GS_#1_R1_M1.csv
10.097	1.67	20180731_P1-1-GS_#1_R1_M1.csv
8.816	1.435	20180731_P1-1-GS_#1_R1_M1.csv
7.697	1.145	20180731_P1-1-GS_#1_R1_M1.csv
6.72	0.867	20180731_P1-1-GS_#1_R1_M1.csv
5.867	0.623	20180731_P1-1-GS_#1_R1_M1.csv
5.122	0.426	20180731_P1-1-GS_#1_R1_M1.csv
4.472	0.278	20180731_P1-1-GS_#1_R1_M1.csv
3.905	0.174	20180731_P1-1-GS_#1_R1_M1.csv
3.409	0.106	20180731_P1-1-GS_#1_R1_M1.csv
2.976	0	20180731_P1-1-GS_#1_R1_M1.csv
2.599	0	20180731_P1-1-GS_#1_R1_M1.csv
2.269	0	20180731_P1-1-GS_#1_R1_M1.csv
1.981	0	20180731_P1-1-GS_#1_R1_M1.csv
1.729	0	20180731_P1-1-GS_#1_R1_M1.csv
1.51	0	20180731_P1-1-GS_#1_R1_M1.csv
1.318	0	20180731_P1-1-GS_#1_R1_M1.csv
1.151	0	20180731_P1-1-GS_#1_R1_M1.csv
1.005	0	20180731_P1-1-GS_#1_R1_M1.csv
0.877	0	20180731_P1-1-GS_#1_R1_M1.csv
0.766	0	20180731_P1-1-GS_#1_R1_M1.csv
0.669	0	20180731_P1-1-GS_#1_R1_M1.csv
0.584	0	20180731_P1-1-GS_#1_R1_M1.csv
0.51	0	20180731_P1-1-GS_#1_R1_M1.csv
0.445	0	20180731_P1-1-GS_#1_R1_M1.csv
0.389	0	20180731_P1-1-GS_#1_R1_M1.csv
0.339	0	20180731_P1-1-GS_#1_R1_M1.csv
0.296	0	20180731_P1-1-GS_#1_R1_M1.csv
0.259	0	20180731_P1-1-GS_#1_R1_M1.csv
0.226	0	20180731_P1-1-GS_#1_R1_M1.csv
0.197	0	20180731_P1-1-GS_#1_R1_M1.csv
0.172	0	20180731_P1-1-GS_#1_R1_M1.csv
0.15	0	20180731_P1-1-GS_#1_R1_M1.csv
0.131	0	20180731_P1-1-GS_#1_R1_M1.csv
