accnos	align	path
otu6	44e26e9cb2abb96e62908e48aad23f37771d1ebc_7315	97.2822037	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;
otu7	bdbfa075f2265b9a88a3fd4273be4bfdce4f338c_6093	99.3760834	Bacteria;Chloroflexi;Ardenticatenia;uncultured;
otu8	f45fe01d636d6851cc69d1887bfbbcfc4a2df496_6245	99.0265808	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu11	1e7e2d595e2667ba6953ba03b96be5d01f02bf09_4882	99.576973	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu13	a0963c80b2791b0af1dfece20a3d5b16ff56b407_3356	97.155365	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;uncultured;
otu14	dc769d56199b185a65d75dad9ffcaf95f28b9aed_3551	99.5910339	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
otu15	e2f3580bda0c39f83403276892bf51cfd5b9fe91_3243	97.3307877	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu16	b45fec5048d293e4711aee710ef84fefca4878de_3419	99.593605	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu17	3ec1ba06df9ea947e40f1fd525eda75fb4c1b5f1_5099	99.4008179	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu18	4170c944eff87acf5fdc34201a2e31f92a8f6d3e_4008	99.5804977	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
otu19	43cf740268f73fc4c9c91c7ccbd622cd77b43333_2566	99.572319	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
otu21	92b2d4820fddcd975baf0434d1c428cb890322a7_2939	99.6085739	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
otu22	045316192361bb07bd3c0dc5bb6be2104a18cd9d_2537	99.189415	Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
otu24	9d277afcfd09e3ea2dc42258268ec79ae7299f90_2367	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Tistlia;
otu25	0e1aa4ad90935e8c84c31eddaf3d5171da981446_2185	99.1116028	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;
