S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu1	358	72	52	15998	172	40	157	107	210	3570	6239	84	21039
otu2	1	0	0	9916	0	3	0	0	0	4076	316	1	794
otu3	167	18	192	655	28	6	1868	766	808	151	1244	131	5483
otu4	1557	133	358	89	35	12	154	1165	296	7	1250	102	1023
otu5	71	27	81	370	8	0	0	0	0	50	1040	10	1803
otu6	95	14	59	1239	67	35	50	241	145	48	3068	95	207
otu7	664	3	28	300	40	13	793	418	292	0	466	207	11
otu9	0	0	1	2313	0	0	1	14	2	0	9	0	6
otu10	19	0	39	1472	16	1	150	639	295	8	466	18	589
otu11	0	0	2	406	2	0	0	0	0	8	167	1	1471
otu12	6	3	1	1790	3	0	0	0	0	35	319	0	223
otu13	9	1	4	1160	4	15	0	0	0	0	544	4	7
otu14	573	8	6	3	15	0	1813	951	317	3	138	79	107
otu15	130	0	2	0	5	1	645	288	171	1	38	146	6
otu16	19	3	41	941	1	0	0	0	0	211	155	1	42
otu17	2	0	13	1118	0	0	0	0	0	22	36	3	161
otu18	0	0	0	24	0	0	0	0	0	706	2	0	585
otu19	2	5	78	0	5	0	0	5	5	0	10	2	1212
otu20	0	0	0	804	0	0	0	0	0	46	18	0	437
otu21	1	3	0	0	1	0	1046	185	36	0	11	6	0
otu22	0	0	5	215	2	0	5	53	6	5	29	0	973
otu23	0	0	0	622	0	0	11	345	0	27	93	0	109
otu24	1	0	0	875	1	0	0	0	0	7	122	0	17
otu25	113	500	13	166	62	251	0	2	5	0	1	6	0
otu26	11	0	2	508	17	1	53	1181	139	1	212	66	123
otu27	136	0	30	59	54	19	158	216	125	0	224	151	17
otu28	22	9	7	17	27	1	450	326	160	0	47	53	9
otu29	162	447	36	129	32	232	0	0	0	0	26	4	1
otu30	209	282	19	209	150	154	0	29	35	3	30	31	0
otu31	0	3	5	760	0	0	0	0	0	11	119	0	4
otu32	19	16	5	649	8	23	0	0	0	94	53	0	37
otu33	84	9	31	621	20	87	0	0	0	0	4	3	0
otu34	119	1	2	2	28	24	130	367	159	0	168	109	1
otu35	132	25	14	55	48	2	148	163	155	5	448	152	15
otu37	8	0	2	58	14	2	17	7	1	14	536	10	127
otu39	49	2	4	641	78	0	0	0	0	0	1	2	0
otu40	0	0	0	384	0	0	0	0	0	33	253	0	15
otu41	985	0	3	79	0	0	4	14	3	0	3	2	9
otu42	99	2	1	17	11	3	15	269	146	0	180	40	6
otu43	0	0	0	0	0	0	0	0	0	660	16	0	127
otu44	0	2	1	0	4	1	175	488	162	0	119	18	7
otu45	0	0	0	246	0	0	0	0	0	406	0	0	0
otu46	20	0	7	1	24	5	102	363	148	0	62	112	0
otu47	22	5	0	457	26	16	0	8	3	150	6	1	29
otu48	0	0	0	0	0	0	0	0	0	1	0	0	621
otu50	4	0	3	0	4	0	47	443	139	0	3	15	1
otu51	55	1	1	379	0	0	0	0	0	64	18	0	55
otu52	112	0	5	12	8	6	37	98	130	0	3	203	0
otu53	49	0	0	10	8	0	677	393	183	4	173	88	0
otu54	4	1	0	0	6	1	32	409	89	0	2	56	1
otu55	238	41	28	100	8	10	0	0	0	0	94	1	22
otu56	0	0	0	72	0	0	0	0	0	500	4	0	3
otu57	0	0	0	0	0	0	459	51	8	0	0	0	0
otu58	466	18	3	0	0	0	0	0	0	1	0	0	0
otu59	0	250	0	209	0	7	0	1	0	0	13	1	4
otu60	196	0	0	316	0	0	0	0	0	157	20	0	7
otu61	0	0	0	573	0	0	0	0	0	0	0	0	0
otu62	3	0	3	7	9	0	202	239	119	0	140	39	0
otu63	0	0	0	489	0	0	0	0	0	18	3	0	83
otu64	3	0	0	0	2	0	169	326	146	0	39	20	0
otu65	23	0	0	12	2	1	9	7	26	0	366	1	2
otu66	5	0	0	7	1	0	2	0	0	2	400	0	13
otu67	17	344	12	0	20	7	0	0	0	0	0	0	0
otu68	39	0	0	9	3	1	260	191	159	0	21	46	0
otu69	3	1	2	0	1	2	170	586	91	0	15	14	1
otu70	18	266	3	21	3	35	0	0	0	0	0	1	0
otu71	15	236	1	0	0	108	0	0	0	0	0	0	0
otu72	0	0	0	398	0	0	0	0	0	0	0	0	0
otu73	16	0	2	54	304	36	0	0	0	0	1	56	1
otu74	5	3	95	3	0	0	89	597	51	0	64	7	8
otu75	0	247	1	88	0	0	0	7	0	0	1	0	0
otu76	19	6	13	231	12	34	0	0	0	0	5	18	11
otu78	0	0	0	388	0	0	0	0	0	0	1	0	0
otu79	0	0	0	0	0	0	373	160	27	0	1	1	0
otu81	91	141	1	72	1	1	0	42	0	1	0	0	0
otu82	108	9	65	58	109	79	11	70	73	0	10	25	1
otu83	0	0	0	364	0	0	0	0	0	0	0	0	0
otu84	66	1	11	17	171	39	0	1	10	0	29	26	0
otu85	95	153	29	0	48	51	0	3	3	0	5	14	0
