S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu6	384	180	229	2444	56	178	0	0	0	1781	535	279	1249
otu7	2	0	1	839	3	2	0	0	0	4140	343	4	759
otu8	25	33	11	1915	1	1	0	0	0	2021	649	11	1578
otu11	38	85	65	2035	1	13	0	0	0	499	232	12	1902
otu13	0	0	0	389	0	0	0	0	0	2708	50	0	209
otu14	932	331	460	9	244	789	1	31	481	1	4	268	0
otu15	21	17	27	1074	1	1	0	0	0	532	113	5	1452
otu16	318	59	52	21	163	309	452	767	903	0	3	369	3
otu17	761	1982	223	1226	54	754	0	0	0	4	44	30	21
otu18	280	218	130	297	214	638	94	588	1096	8	86	334	25
otu19	0	0	18	1022	0	0	0	0	0	113	29	8	1376
otu21	269	309	100	1172	42	338	14	36	115	32	110	189	213
otu22	0	0	0	1144	0	0	0	0	0	1321	39	0	33
otu24	334	141	194	39	83	138	158	263	486	12	182	302	35
otu25	118	195	40	1227	9	230	0	0	1	147	107	52	59
otu26	210	118	21	329	595	636	15	126	771	0	32	589	0
otu27	46	11	22	1353	0	0	0	0	0	99	98	5	413
otu28	1	0	0	1072	0	0	0	0	0	567	105	0	657
otu30	0	0	1	785	0	0	0	1	0	122	53	0	995
otu33	0	0	1	492	0	0	0	0	0	536	45	0	814
otu35	4	0	1	1126	0	0	0	0	0	551	38	0	392
otu36	159	66	58	33	72	182	69	302	429	1	50	172	0
otu38	1	0	12	512	0	0	0	1	0	488	89	5	493
otu39	465	434	118	494	13	236	0	1	0	32	7	34	147
otu41	0	0	1	1376	0	0	0	0	0	3	3	4	95
otu42	322	47	75	576	331	625	1	2	9	1	5	336	6
otu43	229	8	13	24	56	45	244	416	634	4	135	387	2
otu44	1	0	94	665	1	2	0	0	0	25	49	3	875
otu46	183	62	28	391	72	161	12	72	204	2	44	182	4
otu47	2	0	3	382	0	0	0	0	0	181	181	1	571
otu48	52	137	57	623	31	194	34	45	93	4	5	32	51
otu49	179	126	29	103	212	426	0	0	0	0	9	173	0
otu50	1	0	5	894	0	0	0	0	0	0	0	0	305
otu52	184	16	2	9	40	67	398	328	315	0	1	249	0
otu53	17	38	42	317	1	16	0	0	0	194	108	49	851
otu54	181	135	102	216	69	307	60	1	2	3	58	80	25
otu55	232	23	54	23	35	18	156	264	403	1	29	186	9
otu57	94	33	237	308	21	63	0	1	0	3	6	57	279
otu59	78	8	211	275	24	69	12	15	5	47	123	134	256
otu60	2	0	4	604	0	0	0	0	0	417	40	0	90
otu61	102	624	15	47	6	259	0	0	0	0	0	1	0
otu62	0	0	1	528	0	0	0	0	0	718	12	0	290
otu63	156	4	36	28	57	155	99	303	442	1	30	171	17
otu64	145	50	97	158	13	49	8	19	42	16	53	73	272
otu65	106	114	53	494	5	50	0	0	0	18	22	18	135
otu66	1	4	3	483	0	1	0	0	0	211	51	1	261
otu67	20	0	5	824	22	46	1	35	32	2	31	49	62
otu68	46	1	6	25	25	7	262	217	442	0	25	142	6
otu69	20	2	25	668	0	0	0	0	0	59	6	4	327
otu71	0	0	0	273	0	0	0	0	0	101	143	0	401
otu74	131	120	3	76	229	230	0	0	86	0	7	62	0
otu75	246	181	55	4	23	123	8	43	112	1	22	80	3
otu76	120	5	65	23	68	110	27	370	638	0	26	297	3
otu78	37	0	25	503	36	46	1	42	79	1	27	135	37
otu79	225	115	57	37	66	171	0	0	0	1	0	205	0
otu80	271	190	72	32	26	33	0	1	9	3	77	157	17
otu81	0	0	1	302	1	0	0	0	0	101	103	2	344
otu83	192	0	23	3	166	131	0	6	256	0	1	267	0
otu85	333	29	83	111	28	182	0	0	0	0	3	98	1
otu86	4	0	1	240	0	0	0	0	0	123	33	0	397
otu87	50	4	70	460	27	76	1	0	0	4	59	76	8
otu88	219	56	78	0	7	4	146	161	315	1	4	66	6
otu89	14	244	17	228	5	150	0	0	0	3	81	26	18
otu91	46	2	1	2	21	10	394	266	374	0	5	94	0
otu92	322	197	88	152	96	247	0	0	0	1	18	54	3
otu93	1	0	16	388	0	0	0	0	0	74	37	0	267
otu94	32	44	28	594	9	57	0	0	0	0	8	7	2
otu95	6	1	10	384	0	6	0	0	0	10	8	7	284
otu96	100	103	0	249	168	225	1	8	21	0	0	70	0
otu99	85	14	94	284	8	53	1	1	2	82	188	24	120
otu100	0	0	0	26	0	0	0	0	0	688	2	0	1
otu101	200	68	103	367	133	192	2	161	283	0	27	222	4
otu102	170	30	60	88	57	89	2	1	103	0	3	134	1
otu103	91	56	40	487	33	80	0	0	0	79	55	64	88
otu104	0	0	8	644	0	0	0	0	0	5	5	1	94
otu105	74	87	44	194	37	118	0	5	19	1	21	96	0
otu106	1	13	0	545	0	29	0	0	0	10	53	15	4
otu107	0	0	19	344	0	0	0	0	0	28	17	8	257
otu108	17	0	5	0	12	10	1	161	398	0	2	45	0
otu109	2	1	0	580	9	5	0	0	0	0	0	16	10
otu110	70	42	20	170	55	101	0	11	72	0	26	87	3
otu111	111	8	2	6	68	77	1	28	241	0	0	103	0
otu112	131	52	143	477	92	276	0	0	0	1	38	46	2
otu113	54	8	12	105	75	106	23	88	305	0	11	159	0
otu114	19	1	1	0	1	1	248	61	142	0	0	116	0
otu115	141	7	72	50	46	84	21	11	75	1	49	140	15
otu116	1	0	0	2	7	11	232	170	235	0	2	18	0
otu117	123	224	115	301	16	198	4	17	46	43	9	13	68
otu118	105	74	13	123	25	128	8	29	23	1	14	62	0
otu119	0	0	0	0	0	0	0	0	0	3	0	0	575
otu121	87	55	8	38	29	158	88	80	325	2	10	82	6
otu122	8	0	3	467	19	1	1	0	0	0	17	70	1
otu123	17	46	0	407	19	90	6	12	70	0	6	29	1
otu124	0	1	3	656	0	0	0	0	0	1	0	0	4
otu126	110	124	116	365	0	26	0	0	0	1	33	19	17
otu127	79	9	4	9	24	140	8	48	69	4	128	95	2
otu128	142	106	87	93	9	109	0	0	0	2	26	72	19
otu129	87	34	14	207	11	17	0	0	0	25	48	44	70
otu130	76	7	80	39	32	78	8	43	125	1	4	79	0
otu131	1	0	10	110	0	1	0	0	0	46	24	1	368
otu132	120	5	17	14	66	90	0	41	140	1	9	164	0
otu133	0	0	75	417	0	0	0	0	0	0	4	12	37
otu134	6	0	1	206	0	0	0	0	0	91	45	0	220
otu136	31	5	3	411	43	73	1	0	0	0	4	18	1
otu138	100	15	64	105	70	177	0	1	8	0	12	83	8
otu139	2	0	1	0	27	18	84	88	389	0	0	7	0
otu140	75	15	34	316	8	72	0	0	0	0	5	65	1
otu141	5	0	0	0	19	42	247	139	77	0	0	11	0
otu142	66	50	75	135	38	124	3	29	26	2	17	78	4
otu143	127	18	52	25	35	84	3	23	52	0	10	98	0
otu144	0	0	84	387	0	0	0	0	0	4	0	18	211
otu145	26	4	16	263	1	0	0	0	0	19	62	6	147
otu146	5	0	1	0	8	10	54	221	243	1	40	88	0
otu147	25	1	114	323	6	6	0	4	13	0	3	69	13
otu148	6	0	10	380	1	19	0	1	0	18	23	0	90
otu149	233	31	56	38	36	100	0	0	2	2	36	151	1
otu150	76	6	15	38	111	248	0	1	1	0	1	67	0
otu151	108	0	2	0	0	1	0	0	0	0	1199	0	0
otu152	0	0	0	235	0	0	0	0	0	3	10	0	252
otu153	0	0	0	459	0	0	0	0	0	19	35	0	0
otu154	96	56	44	271	0	9	0	0	0	0	46	17	17
otu155	46	5	37	298	10	66	0	3	2	0	3	59	4
otu156	55	37	36	265	19	53	0	0	0	0	15	7	6
otu157	174	37	66	51	6	135	0	3	0	0	0	18	2
otu158	196	20	14	15	8	244	31	93	154	8	76	105	4
otu159	11	0	0	378	13	47	2	0	7	0	8	38	1
otu160	36	0	0	0	15	206	50	105	108	0	0	2	0
otu161	32	3	22	224	17	66	0	0	0	0	97	78	8
otu162	137	0	18	11	5	2	143	319	227	0	56	59	5
otu163	129	72	18	302	58	59	10	25	152	3	32	102	18
otu164	118	10	73	75	5	26	0	0	1	2	88	33	53
otu165	73	0	27	7	98	106	0	0	0	0	1	188	0
otu166	35	17	7	115	34	74	24	27	94	0	37	166	0
otu167	141	48	23	9	22	134	1	8	189	0	3	24	0
otu168	68	1	1	15	24	114	67	125	44	0	9	52	0
otu169	1	0	0	444	2	2	0	0	0	43	29	1	25
otu170	126	14	76	6	27	96	0	0	0	0	0	110	0
otu172	79	52	50	255	51	175	31	18	104	0	4	81	10
otu173	117	39	49	29	37	460	0	0	0	0	1	11	1
otu174	3	0	0	0	2	1	86	72	275	0	0	10	0
otu176	0	16	0	243	0	4	0	0	0	213	7	2	0
otu177	0	0	4	346	0	0	0	0	0	28	10	0	155
otu179	39	0	2	0	4	10	312	138	81	0	2	6	0
otu181	103	46	66	26	23	65	0	1	7	0	1	152	1
otu182	0	0	16	1	1	0	36	0	2	24	3	9	344
otu183	6	3	2	0	40	96	1	152	227	0	5	54	0
otu184	0	0	0	295	0	0	0	0	0	155	10	0	15
otu185	116	89	8	0	3	111	12	13	51	1	21	16	0
otu186	0	0	10	371	0	0	0	0	0	0	12	1	45
otu187	94	151	72	39	26	57	31	46	111	0	21	68	10
otu188	4	0	1	395	0	0	0	0	1	3	8	1	12
otu191	16	99	13	0	11	100	4	40	218	1	5	12	0
otu192	0	0	18	359	0	0	0	0	0	0	0	23	42
otu193	0	0	0	431	0	0	0	0	0	0	3	8	0
otu194	114	33	8	2	13	8	88	64	84	0	1	18	0
otu195	0	0	4	143	0	0	0	0	0	6	1	1	284
otu196	1	0	3	199	2	0	0	0	0	1	30	3	192
otu198	11	3	3	267	0	1	0	0	0	82	39	2	82
otu199	22	1	11	153	4	20	0	0	0	24	51	34	116
otu200	129	28	21	33	52	131	1	15	66	1	14	101	1
otu201	1	0	0	117	0	0	0	0	0	10	7	0	276
otu202	17	67	8	174	0	37	0	0	0	80	48	0	2
otu203	8	11	6	337	0	8	0	0	0	87	83	0	117
otu204	223	0	2	0	90	68	18	46	34	0	0	39	0
otu205	216	84	106	0	0	4	0	0	0	0	0	0	0
otu206	0	0	0	332	0	0	0	0	0	508	81	0	64
otu207	1	0	8	328	0	0	0	0	0	2	25	3	45
otu208	10	0	5	197	22	5	0	0	0	108	35	2	32
otu209	0	0	1	249	0	0	0	0	0	72	64	0	77
otu210	199	147	3	7	19	21	0	0	0	0	0	4	0
otu211	88	0	31	60	54	38	0	0	0	0	0	131	0
otu212	0	0	0	200	0	0	0	0	0	111	45	1	70
otu213	62	65	82	21	3	135	0	0	0	0	1	12	0
otu214	0	0	0	0	0	0	0	0	0	93	1	0	295
otu215	0	0	37	335	0	0	0	0	0	0	0	20	16
otu216	84	65	18	33	34	140	0	0	0	1	5	10	0
otu217	5	1	12	291	0	3	0	0	0	0	9	10	69
otu218	1	0	0	0	36	0	241	96	298	0	1	36	0
otu219	0	0	0	0	0	0	263	99	73	0	1	0	0
otu220	30	18	14	267	70	21	0	0	0	22	101	4	0
otu221	39	0	69	86	14	98	0	0	0	0	10	77	4
otu222	16	2	2	0	14	37	32	62	272	0	0	4	0
otu223	14	14	3	172	0	1	0	0	0	88	99	0	65
otu224	6	1	1	334	7	23	0	0	0	0	1	9	9
otu226	31	158	14	99	15	108	0	0	0	0	1	49	3
otu227	17	1	3	3	5	8	132	95	158	0	2	26	2
otu228	24	9	37	171	31	52	1	0	0	4	16	40	27
otu229	145	1	57	33	17	20	2	0	2	2	30	89	6
otu230	0	0	0	0	0	7	156	131	87	0	0	1	0
otu232	61	45	37	34	7	29	2	19	42	0	30	77	3
otu233	13	3	15	122	1	9	4	1	0	0	2	10	200
otu234	0	2	2	355	13	0	0	4	0	3	13	8	0
otu236	0	0	0	356	0	0	0	0	0	1	0	7	17
otu238	33	116	0	2	11	200	1	0	0	0	0	4	0
otu239	122	40	32	33	89	191	0	0	0	1	8	27	0
otu241	3	3	5	318	0	3	0	0	0	22	0	0	6
otu242	202	135	21	0	0	8	0	0	0	0	0	0	0
otu243	46	41	113	14	38	12	149	128	187	13	45	120	124
otu244	35	18	30	162	3	11	13	20	34	0	46	36	20
otu245	32	15	4	26	25	134	0	36	77	0	0	19	0
otu246	42	61	10	2	45	105	0	7	85	1	3	11	0
otu247	2	11	5	73	0	1	0	0	0	37	40	1	218
otu248	6	0	1	0	15	4	66	59	177	1	3	119	0
otu249	2	3	11	339	0	5	0	0	0	1	2	1	25
otu250	8	0	61	18	1	0	0	8	2	2	4	18	271
otu252	10	0	0	0	0	331	0	0	0	0	0	0	0
otu253	0	0	0	216	0	0	0	0	0	56	62	2	50
otu254	53	4	0	0	23	3	95	105	290	0	7	84	0
otu256	39	4	21	95	43	109	1	4	2	0	4	50	2
otu258	38	1	0	2	14	40	27	35	156	0	1	56	0
otu259	9	0	24	150	9	15	0	0	0	6	16	31	106
otu260	92	8	7	44	22	107	0	0	0	0	3	49	0
otu261	58	11	2	65	0	0	0	0	0	205	11	0	8
otu262	83	133	38	74	5	41	0	0	0	0	21	1	2
otu263	15	1	0	23	4	7	1	1	349	0	1	5	0
otu264	1	0	4	297	0	0	0	0	0	0	14	3	10
otu266	27	7	4	50	32	75	15	23	182	0	5	125	0
otu267	21	10	14	214	17	38	1	10	41	1	0	35	5
otu269	44	69	11	119	5	67	0	0	3	1	9	10	1
otu270	108	1	29	10	38	55	0	0	2	1	1	84	0
otu271	22	36	8	185	0	15	0	0	0	6	18	5	52
otu272	18	1	0	0	56	34	0	0	178	0	0	46	0
otu273	0	0	0	54	0	0	0	0	0	169	117	0	16
otu274	27	1	23	241	46	83	215	342	914	4	13	171	23
otu275	101	35	22	6	33	44	2	3	19	0	6	77	0
otu276	70	65	14	21	16	25	31	61	296	5	17	64	10
otu277	123	14	47	74	32	46	68	107	170	0	13	62	11
otu278	20	0	31	195	3	7	0	0	0	2	31	14	27
otu279	19	21	38	416	12	22	40	5	5	14	12	48	55
otu281	0	2	41	267	0	4	0	0	0	4	8	1	5
