site	measurement	value	depth
S31	O2	0.189445	water
S31	O2	0.184065	water
S31	O2	0.19592	water
S31	O2	0.20571	water
S31	O2	0.206967	water
S31	O2	0.201716	water
S31	O2	0.208191	water
S31	O2	0.191909	water
S31	O2	0.197561	water
S31	O2	0.190217	water
S31	O2	0.190345	water
S31	O2	0.202047	water
S31	O2	0.189113	water
S31	O2	0.201767	water
S31	O2	0.182604	water
S31	O2	0.191391	water
S31	O2	0.181567	water
S31	O2	0.201121	water
S31	O2	0.207512	water
S31	O2	0.18947	water
S31	O2	0.199736	water
S31	O2	0.191425	water
S31	O2	0.203772	water
S31	O2	0.188672	water
S31	O2	0.179349	water
S31	O2	0.184176	water
S31	O2	0.205277	water
S31	O2	0.187073	water
S31	O2	0.188492	water
S31	O2	0.187048	water
S31	O2	0.214302	water
S31	O2	0.187167	water
S31	O2	0.188467	water
S31	O2	0.207427	water
S31	O2	0.184286	water
S31	O2	0.203679	water
S31	O2	0.208982	water
S31	O2	0.190669	water
S31	O2	0.189954	water
S31	O2	0.18755	water
S31	O2	0.209034	water
S31	O2	0.191841	water
S31	O2	0.186657	water
S31	O2	0.205735	water
S31	O2	0.183861	water
S31	O2	0.184447	water
S31	O2	0.196745	water
S31	O2	0.201597	water
S31	O2	0.194374	water
S31	O2	0.195487	water
S31	O2	0.197484	water
S31	O2	0.202804	water
S31	O2	0.199108	water
S31	O2	0.189563	water
S31	O2	0.194305	water
S31	O2	0.178932	water
S31	O2	0.190804	water
S31	O2	0.202778	water
S31	O2	0.186419	water
S31	O2	0.196005	water
S31	O2	0.187566	water
S31	O2	0.194084	water
S31	O2	0.197424	water
S31	O2	0.190329	water
S31	O2	0.195403	water
S31	O2	0.197221	water
S31	O2	0.194577	water
S31	O2	0.194577	water
S31	O2	0.194237	water
S31	O2	0.191153	water
S31	O2	0.196881	water
S31	O2	0.191212	water
S31	O2	0.192046	water
S31	O2	0.189809	water
S31	O2	0.199243	water
S31	O2	0.193073	water
S31	O2	0.19637	water
S31	O2	0.194127	water
S31	O2	0.190795	water
S31	O2	0.190872	water
S31	O2	0.193421	water
S31	O2	0.193949	water
S31	O2	0.193847	water
S31	O2	0.189828	water
S31	O2	0.195036	water
S31	O2	0.193897	water
S31	O2	0.200118	water
S31	O2	0.191586	water
S31	O2	0.193957	water
S31	O2	0.192062	water
S31	O2	0.190948	water
S31	O2	0.20158	water
S31	O2	0.189946	water
S31	O2	0.193643	water
S31	O2	0.190022	water
S31	O2	0.193686	water
S31	O2	0.193736	water
S31	O2	0.193421	water
S31	O2	0.196592	water
S31	O2	0.191348	water
S31	O2	0.193634	water
S31	O2	0.193711	water
S31	O2	0.19128	water
S31	O2	0.192997	water
S31	O2	0.192674	water
S31	O2	0.189173	water
S31	O2	0.198087	water
S31	O2	0.193448	water
S31	O2	0.193379	water
S31	O2	0.197033	water
S31	O2	0.193787	water
S31	O2	0.199303	water
S31	O2	0.201937	water
S31	O2	0.190728	water
S31	O2	0.194935	water
S31	O2	0.193158	water
S31	O2	0.193872	water
S31	O2	0.190975	water
S31	O2	0.193796	water
S31	O2	0.196312	water
S31	O2	0.20016	water
S31	O2	0.199141	water
S31	O2	0.200203	water
S31	O2	0.194255	water
S31	O2	0.188858	water
S31	O2	0.194017	water
S31	O2	0.194042	water
S31	O2	0.194245	water
S31	O2	0.192317	water
S31	O2	0.200127	water
S31	O2	0.193116	water
S31	O2	0.191756	water
S31	O2	0.194484	water
S31	O2	0.195428	water
S31	O2	0.198853	water
S31	O2	0.193108	water
S31	O2	0.19253	water
S31	O2	0.194628	water
S31	O2	0.193133	water
S31	O2	0.191781	water
S31	O2	0.19258	water
S31	O2	0.186444	water
S31	O2	0.188459	water
S31	O2	0.199804	water
S31	O2	0.19507	water
S31	O2	0.191365	water
S31	O2	0.195266	water
S31	O2	0.194229	water
S31	O2	0.194645	water
S31	O2	0.19224	water
S31	O2	0.19422	water
S31	O2	0.192342	water
S31	O2	0.201096	water
S31	O2	0.194144	water
S31	O2	0.191416	water
S31	O2	0.190549	water
S31	O2	0.207852	water
S31	O2	0.197815	water
S31	O2	0.191638	water
S31	O2	0.19898	water
S31	O2	0.194229	water
S31	O2	0.191638	water
S31	O2	0.194119	water
S31	O2	0.190447	water
S31	O2	0.191102	water
S31	O2	0.194051	water
S31	O2	0.197714	water
S31	O2	0.197687	water
S31	O2	0.193804	water
S31	O2	0.19433	water
S31	O2	0.199847	water
