Longitude	Depth	Chla
1	-60.2997	5	0.04
2	-60.2997	10	0.04
3	-60.2997	15	0.04
4	-60.2997	20	0.04
5	-60.2997	25	0.04
6	-60.2997	30	0.04
7	-60.2997	35	0.04
8	-60.2997	40	0.04
9	-60.2997	45	0.04
10	-60.2997	50	0.04
11	-60.2997	55	0.05
12	-60.2997	60	0.06
13	-60.2997	65	0.07
14	-60.2997	70	0.08
15	-60.2997	75	0.1
16	-60.2997	80	0.13
17	-60.2997	85	0.11
18	-60.2997	90	0.07
19	-60.2997	95	0.05
20	-60.2997	100	0.05
21	-60.2997	105	0.04
22	-60.2997	110	0.04
23	-60.2997	115	0.04
24	-60.2997	120	0.03
25	-60.2997	125	0.03
26	-60.2997	130	0.03
27	-60.2997	135	0.03
28	-60.2997	140	0.03
29	-60.2997	145	0.04
30	-60.2997	150	0.03
31	-60.2997	155	0.03
32	-60.2997	160	0.03
33	-60.2997	165	0.03
34	-60.2997	170	0.03
35	-60.2997	175	0.03
36	-60.2997	180	0.03
37	-60.2997	185	0.03
38	-60.2997	190	0.03
39	-60.2997	195	0.03
40	-60.2997	200	0.03
41	-60.1195	5	0.04
42	-60.1195	10	0.04
43	-60.1195	15	0.04
44	-60.1195	20	0.04
45	-60.1195	25	0.04
46	-60.1195	30	0.04
47	-60.1195	35	0.05
48	-60.1195	40	0.05
49	-60.1195	45	0.06
50	-60.1195	50	0.06
51	-60.1195	55	0.06
52	-60.1195	60	0.08
53	-60.1195	65	0.09
54	-60.1195	70	0.11
55	-60.1195	75	0.11
56	-60.1195	80	0.1
57	-60.1195	85	0.09
58	-60.1195	90	0.07
59	-60.1195	95	0.06
60	-60.1195	100	0.05
61	-60.1195	105	0.05
62	-60.1195	110	0.04
63	-60.1195	115	0.04
64	-60.1195	120	0.04
65	-60.1195	125	0.04
66	-60.1195	130	0.04
67	-60.1195	135	0.04
68	-60.1195	140	0.04
69	-60.1195	145	0.04
70	-60.1195	150	0.04
71	-60.1195	155	0.04
72	-60.1195	160	0.04
73	-60.1195	165	0.04
74	-60.1195	170	0.04
75	-60.1195	175	0.03
76	-60.1195	180	0.03
77	-60.1195	185	0.03
78	-60.1195	190	0.03
79	-60.1195	195	0.03
80	-60.1195	200	0.03
81	-58.7107	5	0.04
82	-58.7107	10	0.04
83	-58.7107	15	0.04
84	-58.7107	20	0.04
85	-58.7107	25	0.04
86	-58.7107	30	0.04
87	-58.7107	35	0.05
88	-58.7107	40	0.05
89	-58.7107	45	0.06
90	-58.7107	50	0.09
