SITE	Temp_C	pH_units	HDO_mg.l	Chl_ug.l	PO4_uM	NOx_uM	DOC_uM	POC_mg.L
1	A	22.2662904953062	8.70705890906147	6.50145728005433	0.476200539657377	0.60790648724739	5.69907544285833	74.9237437878614	36.8102544081124
2	A	22.1249574269505	8.36218664921238	6.77613652914155	0.275665081633385	0.654248484040861	6.88393975582491	95.3075159531864	40.3231717764523
3	A	21.2861277926616	8.41323644407436	6.78304491544607	0.381644062007177	0.124009751226562	4.56668193135507	84.900740301735	12.6520901121514
4	A	22.6950841496707	8.3395136768794	7.22206641636743	0.371215811443812	0.830042683870263	5.75001908665821	96.7441112809576	36.7876891802605
5	A	20.3839571191207	8.26222586512412	6.4201782028747	0.435820994401421	0.0740456736062871	3.86252724659092	79.2527593811186	29.8734561727919
6	B	23.000408081073	7.24379212419864	6.54787287204626	0.300642332991033	0.312252909207512	5.34310872609525	96.4589928425346	27.1511520946751
7	B	22.4098819977844	5.85520138743451	6.76783414084633	0.0534074414433354	0.386594209993094	2.85816558253659	113.128439215203	38.664378337061
8	B	22.706264110763	6.86013843530719	6.27061812807723	0.162921267112346	0.616785918008274	2.8303229126355	107.774390548692	19.4755505222273
9	B	23.4505268378916	7.21456656414974	6.85482421740136	0.11055973753843	0.346256055405665	4.92538812470767	112.409270839393	16.172274460716
10	B	23.3273339145453	7.37551511389636	7.46313130049873	0.235505018420351	0.379831298433415	1.98681787243655	80.4690605944956	15.1338763685536
11	C	23.2410883762834	8.08280922129503	6.26766717980481	0.16795223508473	0.753386510495577	3.94871423288634	99.0900388640284	19.7767799685921
12	C	22.0797445447419	7.53973874476261	6.1738487540991	0.0929142972719843	0.651496421441015	3.54476586786595	91.8451285106274	35.3048172531293
13	C	23.4795826614729	8.73852297145706	6.46045060011848	0.278825006751252	0.727616254007876	5.17235450154501	65.68143735997	41.8117305337035
14	C	22.4767473786805	8.44881125822846	6.72090420881121	0.484913987688438	0.763745856311939	4.55805865107632	96.1845640629587	32.793280161381
15	C	23.199763072726	8.40249761975077	5.88049541315623	0.206191588956568	0.665857871017264	5.57063736507583	88.3961815725561	47.6549944090549
