	chh1	chh10	chh11	chh12	chh13	chh14	chh15	chh16	chh17	chh18	chh19	chh2	chh20	chh21	chh22	chh23	chh24	chh25	chh26	chh27	chh28	chh29	chh3	chh30	chh31	chh32	chh33	chh34	chh35	chh36	chh37	chh38	chh39	chh4	chh40	chh41	chh42	chh43	chh44	chh45	chh46	chh47	chh48	chh49	chh5	chh50	chh51	chh52	chh53	chh54	chh55	chh56	chh57	chh58	chh59	chh6	chh60	chh61	chh62	chh63	chh64	chh65	chh66	chh67	chh68	chh69	chh7	chh70	chh71	chh72	chh73	chh74	chh75	chh76	chh8	chh9
Species01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01546312	0.054190751	0.01332445	0.012589702	0	0	0	0.232754972	0	0.072621641	0.076819666	0	0.417349829	0.034566194	0.14243565	0.01227295	0.031811675	0	0	0	0.027251669	0	0.012913223	0	0	0	0	0	0	0	0	0	0	0	0	0.079819077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019036741	0	0
Species02	0	0	0.058941412	0	0.028857253	0.018758207	0.076184672	0.099971437	0.199226532	0.023419204	0.535612536	0.106791969	0.078729825	0.214477212	0.01546312	0.144508671	0.066622252	0.327332242	0.045160319	0.05348547	0	3.914515446	0	0.174291939	0.345688496	0.061850569	1.878074229	0.051849291	0.284871299	0.073637703	0.62032766	0.919012062	0.41313329	0	0.109006677	0.476917207	0.090392562	0.447882736	0.102744753	0.389032975	0.058628102	0.371920037	0.028058361	0.154416306	0	0.249853028	0.171502072	0	0.310029453	0.439004922	0.306962467	0.329263273	0.44141252	0.10210035	0.106320142	0.110987791	0.062996094	0.05202237	0.423280423	0.042613636	0	0	0.044057716	0.039513978	0.170248989	0	0	0.161515307	0	0.105166294	0	0	0	0.142775557	0.018917896	0.013666803
Species03	0	0	0	0	0	0	0	0.042844901	0	0	0.034188034	0	0	0.017873101	0	0.018063584	0	0.012589702	0	0.01782849	0	0.169276344	0	0	0	0	1.058279922	0.172830971	0.1220877	0	0.206775887	0.045950603	0.043487715	0	0.027251669	0.247996948	0	0.040716612	0.029355644	0	0	0.011622501	0	0	0	0	0	0	0	0	0.013952839	0	0	0	0.023626698	0	0	0	0	0	0	0	0.022028858	0	0	0.030229746	0	0	0	0	0	0	0	0.028555111	0	0
Species04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043487715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027905679	0	0	0	0	0	0	0	0.017636684	0	0	0	0.815067739	0	0.127686742	0	0	0	0	0	0	0.012769761	0.036122818	0.095183705	0	0
Species05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063478629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013145787	0	0	0	0	0	0
Species06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10592938	0	0	0	3.238941329	9.4583157	0	0	0	0	6.036667164	0	0.702004273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014291839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030926241	0	0	0	0	3.690497415	0	0	0	0	0	0	0	0	0	0	7.237156036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species08	0	0	0	0	0	0	0	0	0.011719208	0	0	0	0	0	0	0	0.01332445	2.543119728	0	0	0	0	0	0.014524328	0	0	0	0	0.02034795	0	0	0	0	0	0	0	0	0	0.029355644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019756989	0	0	0.025673941	0	0	0	0	0	0	0	0	0
Species09	0	0.992779783	1.037368855	0.548529636	0.009619084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300669673
Species10	0	0	0	0	0	0	0	0	0	0	4.831908832	0	5.773520535	0	0	0	6.808794137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015905837	0	0	0	0	0	0	0	0	0	0	0.011622501	0	0	0	0	0	0	0.248023562	0	0.265103949	0	0.822632424	0	0.12994684	0	0	2.887241514	0.017636684	0.127840909	0	0.22413149	0	0.079027956	0	0.075574365	0	0.007341605	0.306698951	0.026291574	0	0	0.108368453	0	0	0
Species12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063478629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506329114	0	0	0	1.277068295	0	0	0	6.894565009	0	0	0	6.460474107	0	0	6.51349799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044716053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017636684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species15	0	0	0	0.015236934	0	0	0	6.341045416	5.566623696	0	0	0	0	0	0	0	0	0	0	0	0	0.042319086	0	0	0	0	0	0	0	0	0	0	0	0	0.013625835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species16	0	0	0	5.820508914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014291839	0	0	0	0	0	0	0	0.011813349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species17	0	0	0.011788282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.776843147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019036741	0	0
Species18	0	0	0.011788282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190435887	0	0	0	0	0	0	0	0	0.015905837	0	0	0	0	0.038153377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013005592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species19	0	5.979241877	4.043380879	0	4.415159677	0	0	0	0	8.044496487	0	0	0	0	0	5.310693642	0	0	0	0	0	0	0	0	0	0	0	0	0.010173975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species20	0	0	0	0	0	7.915963234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.098674521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.279542375	0	0	0	0	0	0	0	0	10.42170757	0	0	0	0	0	0	0	0	0.077479339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species22	0	0	0	0	0	0	0	0	0	0	0.045584046	0	0	0	0	0	0	0	0	0.01782849	0	0.126957258	0	0	0	0	0.044716053	0	0.111913725	0	0.461269286	0	0.152207002	0	0	0.038153377	0	0.101791531	0	0.01852538	0	0.023245002	0	0.015441631	0	0	0	0	0	0	0	0	0.040128411	0	0	0	0	0.039016777	0	0	0	0.037355248	0	0.059270967	0	0	0.01283697	0	0	0	0.031201248	0	0	0	0	0
Species23	0.095134547	0	0.282918779	0	0.019238169	0	0.472344964	0.028563268	0	0	0.262108262	0	0	0.017873101	0	0	0	0.025179403	0	0	0	0.169276344	0.037589275	0	0	0	0.119242808	0	0.10173975	0	1.813265468	0.080413555	0.521852577	0	0	0.076306753	0	0.223941368	0	0.03705076	0.039085402	0.034867503	0.014029181	0.23162446	0.319774878	0.029394474	0.100042876	0	1.11610603	0.066515897	0.251151109	0	4.735152488	0.087514586	2.386296515	0	0.012599219	0.897385876	0.105820106	1.164772727	0	1.568920433	0	0.879186012	0.010640562	0.680169287	0.192554557	0.007341605	0.694108152	0	0.109204368	0.025539522	0.168573149	0.00951837	0	0.273336067
Species24	0	0	0	0	0.057714506	0	0.289501752	0	0	0	0.091168091	0	0	0.017873101	0	0.036127168	0	0.012589702	0	0.01782849	0	0.232754972	0	0	0.076819666	0	0.074526755	0	0.010173975	0	0.445363448	0	0.173950859	0	0	0.457840519	0.025826446	0.223941368	0.014677822	0	0	0.023245002	0	0.030883261	0.02558199	0	0	0	0.046504418	0	0.027905679	0.027438606	0.180577849	0	0.047253396	0	0	0.104044739	0.008818342	0	0	0.056032873	0	0.039513978	0	0	0	0	0.01614205	0	0	0	0.024081878	0	0	0
Species25	0	0	0	0	0	0	0	0	0	0	0.056980057	0	0	0	0	0	0	0	0	0	0	0.084638172	0	0	0.019204916	0	0	0	0.030521925	0	0	0	0.043487715	0	0	0	0	0	0	0	0	0.023245002	0	0	0	0	0	0	0	0	0	0	0	0	0.023626698	0	0	0.013005592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029355644	0	0	0	0	0	0	0	0	0	0.077507363	0.292669948	0.041858518	0.150912334	0	0	0.106320142	0	0.012599219	0.039016777	0.105820106	0.028409091	0.04784689	0.037355248	0	0	0	0	0	0	0.01614205	0	0.015600624	0	0	0	0	0
Species27	0	0	0	0.030473869	0.038476337	0.05627462	0.10665854	0	0	0	0	0	0.026243275	0	0	0	0	0	0	0	0	0	0	0	0.019204916	0	0	0.017283097	0	0.01227295	0.015905837	0.068925905	0	0	0.027251669	0	0	0.040716612	0.029355644	0.03705076	0	0.011622501	0.028058361	0	0	0.264550265	0	0.013631407	0	0.119728615	0	0.013719303	0.020064205	0.30630105	0.023626698	0	0.21418672	0	0.379188713	0	0.035885167	0.074710497	0.187245291	0.296354836	0.35113854	0	0	0.066074444	0.01614205	0.118312081	0.015600624	0.140467373	0	0.066628593	0	0
