	Station	Tidal.phase	sampling.unit	Pore.size	seqID	week
chh1	F1	O	1	5	chh1	1
chh10	F4	I	1	0.2	chh10	1
chh11	F2	I	1	5	chh11	1
chh12	F2	I	1	0.2	chh12	1
chh13	R1	I	1	5	chh13	1
chh14	R1	I	1	0.2	chh14	1
chh15	R1	O	1	5	chh15	1
chh16	R1	O	1	0.2	chh16	1
chh17	F3	O	2	5	chh17	2
chh18	F3	O	2	0.2	chh18	2
chh19	F1	O	2	5	chh19	2
chh2	F1	O	1	0.2	chh2	1
chh20	F1	O	2	0.2	chh20	2
chh21	F3	I	2	5	chh21	2
chh22	F3	I	2	0.2	chh22	2
chh23	F1	I	2	5	chh23	2
chh24	F1	I	2	0.2	chh24	2
chh25	F2	I	2	5	chh25	2
chh26	F2	I	2	0.2	chh26	2
chh27	F4	I	2	5	chh27	2
chh28	F4	I	2	0.2	chh28	2
chh29	R1	I	2	5	chh29	2
chh3	F3	O	1	5	chh3	1
chh30	R1	I	2	0.2	chh30	2
chh31	R1	O	2	5	chh31	2
chh32	R1	O	2	0.2	chh32	2
chh33	F1	O	3	5	chh33	3
chh34	F1	O	3	0.2	chh34	3
chh35	F3	O	3	5	chh35	3
chh36	F3	O	3	0.2	chh36	3
chh37	F1	I	3	5	chh37	3
chh38	F1	I	3	0.2	chh38	3
chh39	F3	I	3	5	chh39	3
chh4	F3	O	1	0.2	chh4	1
chh40	F3	I	3	0.2	chh40	3
chh41	F4	I	3	5	chh41	3
chh42	F4	I	3	0.2	chh42	3
chh43	F2	I	3	5	chh43	3
chh44	F2	I	3	0.2	chh44	3
chh45	R1	I	3	5	chh45	3
chh46	R1	I	3	0.2	chh46	3
chh47	R1	O	3	5	chh47	3
chh48	R1	O	3	0.2	chh48	3
chh49	F3	O	4	5	chh49	4
chh5	F1	I	1	5	chh5	1
chh50	F3	O	4	0.2	chh50	4
chh51	F1	O	4	5	chh51	4
chh52	F1	O	4	0.2	chh52	4
chh53	F3	I	4	5	chh53	4
chh54	F3	I	4	0.2	chh54	4
chh55	F1	I	4	5	chh55	4
chh56	F1	I	4	0.2	chh56	4
chh57	F2	I	4	5	chh57	4
chh58	F2	I	4	0.2	chh58	4
chh59	F4	I	4	5	chh59	4
chh6	F1	I	1	0.2	chh6	1
chh60	F4	I	4	0.2	chh60	4
chh61	R1	I	4	5	chh61	4
chh62	R1	I	4	0.2	chh62	4
chh63	R1	O	4	5	chh63	4
chh64	R1	O	4	0.2	chh64	4
chh65	R1	I	5	5	chh65	4
chh66	R1	I	5	0.2	chh66	4
chh67	F1	I	5	5	chh67	4
chh68	F1	I	5	0.2	chh68	4
chh69	F3	I	5	5	chh69	4
chh7	F3	I	1	5	chh7	1
chh70	F3	I	5	0.2	chh70	4
chh71	R1	O	5	5	chh71	4
chh72	R1	O	5	0.2	chh72	4
chh73	F1	O	5	5	chh73	4
chh74	F1	O	5	0.2	chh74	4
chh75	F3	O	5	5	chh75	4
chh76	F3	O	5	0.2	chh76	4
chh8	F3	I	1	0.2	chh8	1
chh9	F4	I	1	5	chh9	1
